St. Thomas University	Miami Gardens	FL	782	28800.0	930.0	0.54126794258373	14750.0	0.503
Southeastern University	Lakeland	FL	868	24160.0	978.0	0.45850775671017	11000.0	0.4368
The University of Tampa	Tampa	FL	512	27740.0	1097.0	0.48297989672632	16000.0	0.4169
Trinity College of Florida	Trinity	FL	1677	15690.0	827.0	0.70666666666666	15125.0	0.5779
Warner University	Lake Wales	FL	1531	20712.0	888.0	0.43589743589743	15848.0	0.5366
Webber International University	Babson Park	FL	1617	25358.0	902.0	0.5386189258312	9500.0	0.6944
Abraham Baldwin Agricultural College	Tifton	GA	1427	10060.0	932.0	0.65611510791366	6500.0	0.4695
Albany State University	Albany	GA	1226	15738.0	899.0	0.4967409948542	26000.0	0.3424
Point University	West Point	GA	1616	19200.0	922.0	0.5143581081081	12000.0	0.5015
Clark Atlanta University	Atlanta	GA	721	22396.0	914.0	0.71843846082176	17500.0	0.2887
Berry College	Mount Berry	GA	681	33556.0	1183.0	0.62093758987633	19000.0	0.3971
Brenau University	Gainesville	GA	965	27152.0	973.0	0.35645569620253	15500.0	0.102
College of Coastal Georgia	Brunswick	GA	1493	10428.0	896.0	0.9520725388601	6250.0	0.3425
Columbus State University	Columbus	GA	758	16605.0	963.0	0.53164556962025	15750.0	0.409
Covenant College	Lookout Mountain	GA	1302	32230.0	1191.0	0.96241830065359	19500.0	0.4577
Emmanuel College	Boston	MA	938	37540.0	1122.0	0.71396432588783	23500.0	0.2596
Emory University	Atlanta	GA	79	47954.0	1382.0	0.29119994399327	18222.0	0.4112
Fort Valley State University	Fort Valley	GA	1169	5594.0	855.0	0.26451208032632	24250.0	0.4215
Georgia Southwestern State University	Americus	GA	1189	15518.0	975.0	0.68178545716342	11500.0	0.3807
Georgia Southern University	Statesboro	GA	321	16847.0	1110.0	0.64551555826723	17029.0	0.4944
Georgia State University	Atlanta	GA	70	23542.0	1070.0	0.56553461957952	12500.0	0.4099
University of Georgia	Athens	GA	57	29844.0	1262.0	0.53899709174231	17108.0	0.4319
Gordon State College	Barnesville	GA	1548	11719.0	853.0	0.54334140435835	8250.0	0.3335
LaGrange College	Lagrange	GA	1343	28490.0	1021.0	0.57716836734693	12875.0	0.5089
Life University	Marietta	GA	911	11220.0	927.0	0.92142857142857	8333.0	0.4526
Mercer University	Macon	GA	404	35130.0	1211.0	0.69354838709677	21350.0	0.3849
Morehouse College	Atlanta	GA	555	26742.0	994.0	0.66070307595731	19500.0	1.0
Oglethorpe University	Atlanta	GA	734	35280.0	1125.0	0.8040260509177	15500.0	0.432
Paine College	Augusta	GA	1351	14224.0	745.0	0.24582398404387	16000.0	0.4606
Piedmont College	Demorest	GA	1259	23112.0	991.0	0.57153558052434	15681.0	0.3637
Reinhardt University	Waleska	GA	1415	21644.0	965.0	0.87450980392156	12000.0	0.5528
Savannah College of Art and Design	Savannah	GA	247	35690.0	1086.0	0.7171438733772	19532.5	0.3329
Savannah State University	Savannah	GA	1083	15900.0	823.0	0.50784856879039	13449.0	0.4054
Shorter University	Rome	GA	1109	21730.0	961.0	0.61177753544165	19000.5	0.4538
Spelman College	Atlanta	GA	529	27314.0	1092.0	0.35732451678535	24500.0	0.0
Toccoa Falls College	Toccoa Falls	GA	1489	21414.0	962.0	0.54143019296254	13750.0	0.4686
Truett McConnell University	Cleveland	GA	1534	18510.0	953.0	0.90607734806629	12000.0	0.4541
Valdosta State University	Valdosta	GA	483	16891.0	982.0	0.65133124510571	15750.0	0.3976
Wesleyan College	Macon	GA	1436	21750.0	1035.0	0.37648456057007	17735.0	0.0
University of West Georgia	Carrollton	GA	452	16717.0	945.0	0.59092049159769	12750.0	0.3635
Young Harris College	Young Harris	GA	1565	29012.0	1004.0	0.55036433776253	12125.0	0.4419
Chaminade University of Honolulu	Honolulu	HI	991	23310.0	976.0	0.91330166270783	13000.0	0.315
University of Hawaii at Hilo	Hilo	HI	872	20610.0	978.0	0.69097651421508	12500.0	0.3839
University of Hawaii at Manoa	Honolulu	HI	489	33764.0	1075.0	0.84977729788095	14000.0	0.4478
Boise Bible College	Boise	ID	1695	11750.0	1009.0	0.9	15375.0	0.5672
Boise State University	Boise	ID	192	21530.0	1047.0	0.8172869147659	14635.0	0.4652
University of Idaho	Moscow	ID	154	22040.0	1070.0	0.75894506971275	16750.0	0.5369
Lewis-Clark State College	Lewiston	ID	912	17620.0	937.0	0.97153024911032	10000.0	0.3752
Northwest Nazarene University	Nampa	ID	1626	28650.0	1113.0	0.95283018867924	18000.0	0.4068
Brigham Young University-Idaho	Rexburg	ID	244	3920.0	1036.0	0.95830221558376	6606.0	0.4236
School of the Art Institute of Chicago	Chicago	IL	506	45750.0	1127.0	0.59324942791762	19809.5	0.2669
Aurora University	Aurora	IL	856	22830.0	1005.0	0.87724665391969	15750.0	0.3523
Blackburn College	Carlinville	IL	1402	21162.0	968.0	0.53846153846153	11135.5	0.4617
Bradley University	Peoria	IL	349	32120.0	1141.0	0.69814020028612	23750.0	0.4948
Chicago State University	Chicago	IL	743	17212.0	883.0	0.57876312718786	22000.0	0.2997
University of Chicago	Chicago	IL	22	53649.0	1508.0	0.07937365010799	14853.0	0.5149
Eastern Illinois University	Charleston	IL	359	13740.0	990.0	0.4687648456057	17879.0	0.3988
Eureka College	Eureka	IL	1308	21120.0	1030.0	0.6453154875717	15000.0	0.4895
Governors State University	University Park	IL	813	18676.0	910.0	0.41298917568692	13030.0	0.356
Greenville University	Greenville	IL	1072	25720.0	999.0	0.57822506861848	15617.5	0.499
University of Illinois at Chicago	Chicago	IL	72	26520.0	1105.0	0.73593218448497	14000.0	0.4952
University of Illinois at Urbana-Champaign	Champaign	IL	24	30680.0	1320.0	0.6006615388654	17750.0	0.5477
Illinois Wesleyan University	Bloomington	IL	530	44142.0	1229.0	0.5821400676907	26199.5	0.464
Illinois Institute of Technology	Chicago	IL	162	45214.0	1275.0	0.57102869139258	22500.0	0.6999
Illinois State University	Normal	IL	237	25168.0	1090.0	0.88880609372412	16750.0	0.446
Judson University	Elgin	IL	1201	28730.0	1020.0	0.74852071005917	19081.0	0.4118
Lewis University	Romeoville	IL	700	30050.0	1090.0	0.59186965639619	19500.0	0.4593
Lincoln Christian University	Lincoln	IL	1576	13020.0	1007.0	0.52882205513784	17500.0	0.5
Lincoln College	Lincoln	IL	1689	17700.0	823.0	0.62021531100478	9500.0	0.4593
Loyola University Chicago	Chicago	IL	139	42032.0	1195.0	0.72569566748855	19500.0	0.3377
MacMurray College	Jacksonville	IL	1365	25110.0	946.0	0.56202290076335	22000.0	0.5009
McKendree University	Lebanon	IL	967	28740.0	1025.0	0.68155935173017	16499.0	0.4604
Methodist College	Peoria	IL	1725	20710.0	990.0	0.5	30750.0	0.1265
Millikin University	Decatur	IL	1642	31824.0	1047.0	0.6380266075388	20375.0	0.4219
Monmouth College	Monmouth	IL	1307	35300.0	1045.0	0.52062807881773	20000.0	0.481
North Central College	Naperville	IL	684	36654.0	1123.0	0.5935860058309	20000.0	0.4657
North Park University	Chicago	IL	1516	27210.0	993.0	0.94181818181818	19000.0	0.3738
Northern Illinois University	Dekalb	IL	145	23670.0	1030.0	0.51842456608811	17562.5	0.5074
Northwestern University	Evanston	IL	31	50855.0	1470.0	0.10663817663817	16500.0	0.499
Northeastern Illinois University	Chicago	IL	514	18514.0	870.0	0.71014025471546	10400.0	0.4384
Olivet Nazarene University	Bourbonnais	IL	676	33940.0	1099.0	0.77700348432055	19000.0	0.402
Quincy University	Quincy	IL	877	27128.0	991.0	0.66232876712328	13000.0	0.4681
Rockford University	Rockford	IL	1469	29180.0	1011.0	0.54430799867241	18750.0	0.4137
Roosevelt University	Chicago	IL	503	28119.0	1012.0	0.73289956623289	18458.5	0.3646
Dominican University	River Forest	IL	792	31570.0	1050.0	0.63725919439579	18500.0	0.3317
Saint Xavier University	Chicago	IL	939	32250.0	1009.0	0.75249549007817	18000.0	0.3541
University of Illinois at Springfield	Springfield	IL	458	20938.0	1067.0	0.65303340149965	13889.0	0.4908
Trinity Christian College	Palos Heights	IL	1295	27675.0	1081.0	0.70022624434389	20500.0	0.3281
